id,artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,song_popularity,artist_popularity,genres,year
07Ikb6oVQ5bddOktyquwFL,Ariel,Beyond My Wildest Dreams - Broadway Cast Recording,0.827,0.521,0.0804,0.0,0.0785,-20.009,0.0614,121.079,0.583,5,1,38,23,unknown,2008
5Kwv0VoK9SIdt6RMRusora,Original Broadway Cast - The Little Mermaid,One Step Closer - Broadway Cast Recording,0.697,0.285,0.0856,0.000103,0.18,-20.504,0.0417,82.527,0.252,2,1,33,0,movie_tunes,2008
3zeranG6JeC4PXlesNtPYr,Original Broadway Cast - The Little Mermaid,I Want the Good Times Back (Reprise) - Broadway Cast Recording,0.82,0.576,0.276,0.0,0.0928,-13.339,0.0605,41.161,0.339,7,0,31,0,movie_tunes,2008
3YicD1Orx2WTSg4SUbjNWb,Original Broadway Cast - The Little Mermaid,Kiss the Girl - Broadway Cast Recording,0.869,0.553,0.15,0.0,0.133,-17.584,0.0453,123.836,0.647,5,1,36,0,movie_tunes,2008
0zYDXbTk7IMoS5NA6Pcu6i,Original Broadway Cast - The Little Mermaid,Sweet Child (Reprise) - Broadway Cast Recording,0.564,0.514,0.231,0.0,0.526,-16.007,0.144,141.424,0.743,5,0,32,0,movie_tunes,2008
08iT1Hdv5gjPPlvSj7OUTZ,Original Broadway Cast - The Little Mermaid,If Only (Quartet) - Broadway Cast Recording,0.923,0.347,0.075,0.0,0.0755,-19.052,0.0396,80.536,0.226,9,1,39,0,movie_tunes,2008
7FzcQTmkQZdm0aN54xdj8c,Original Broadway Cast - The Little Mermaid,The Contest - Broadway Cast Recording,0.703,0.619,0.131,1.71e-05,0.27,-17.321,0.107,73.618,0.477,9,1,30,0,movie_tunes,2008
5d3FbEwSLgvWJelZwaIu8Q,Original Broadway Cast - The Little Mermaid,Poor Unfortunate Souls (Reprise) - Broadway Cast Recording,0.61,0.537,0.146,0.0,0.145,-14.987,0.137,95.619,0.429,1,1,31,0,movie_tunes,2008
3Tcv2Ck5n0R7wrd4q7mB7K,Original Broadway Cast - The Little Mermaid,If Only (Reprise) - Broadway Cast Recording,0.909,0.367,0.0923,0.000875,0.11,-19.752,0.0392,112.372,0.0694,1,1,29,0,movie_tunes,2008
2nJ38YXkzKwV8r18LKh8GX,Original Broadway Cast - The Little Mermaid,Finale - Broadway Cast Recording,0.797,0.214,0.23,0.156,0.403,-14.572,0.0302,68.021,0.185,1,1,32,0,movie_tunes,2008
4HGIPyqDxSf863tPOwXiLJ,Samuel E. Wright,"Kiss the Girl - From ""The Little Mermaid""/Soundtrack Version",0.686,0.667,0.239,0.0,0.104,-15.923,0.0481,134.857,0.721,0,1,60,57,movie_tunes,2006
7zsw78LtXUD7JfEwH64HK2,Pat Carroll,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",0.77,0.384,0.18,0.0,0.367,-17.279,0.101,73.603,0.368,0,1,62,46,movie_tunes,2006
1YzCSIwQ1wlchlqoRrAh1c,Jodi Benson,"Part of Your World (Reprise) - From ""The Little Mermaid""/ Soundtrack Version",0.951,0.266,0.201,0.037,0.0932,-14.947,0.0391,76.495,0.119,5,1,50,56,movie_tunes,2006
6oYkwjI1TKP9D0Y9II1GT7,Samuel E. Wright,"Under the Sea - From ""The Little Mermaid""/ Soundtrack Version",0.708,0.511,0.475,0.0,0.105,-14.667,0.161,98.957,0.819,10,1,69,57,movie_tunes,2006
7tUSJY4nsDBJTjd1UXKRsT,Jodi Benson,"Part of Your World - From ""The Little Mermaid""/ Soundtrack Version",0.92,0.274,0.144,0.000388,0.29,-14.516,0.0482,61.551,0.302,5,1,72,56,movie_tunes,2006
3nN3RstyJA9LlIQvnkkKtD,Daughters of Triton,"Daughters of Triton - From ""The Little Mermaid""/ Soundtrack Version",0.907,0.717,0.491,1.93e-06,0.324,-14.803,0.355,79.59,0.463,0,1,43,0,movie_tunes,2006
6kkFjjMbO9EL1YxNt8BKm3,Ashley Tisdale,Kiss the Girl,0.0321,0.604,0.777,0.0,0.125,-5.181,0.0454,130.047,0.32,0,1,43,53,"dance_pop, pop, post-teen_pop",2006
3ChNbqbiPteCoYtufO79qw,Disney Studio Chorus,"Happy Ending - From ""The Little Mermaid""/ Soundtrack Version",0.949,0.16,0.154,0.592,0.126,-16.294,0.0364,74.378,0.0649,7,1,44,50,movie_tunes,2006
09HBvmj0dUeQYHGbKJefR5,Alan Menken,"Main Title - The Little Mermaid - From ""The Little Mermaid""/ Score",0.811,0.0912,0.195,0.786,0.27,-16.486,0.0366,86.253,0.158,7,1,53,61,"broadway, movie_tunes, orchestral_soundtrack",2006
2z1o3f89JMMzneTQXT8e0w,Alan Menken,Overture - Broadway Cast Recording,0.485,0.317,0.16,0.676,0.277,-17.871,0.0346,127.886,0.379,2,1,33,61,"broadway, movie_tunes, orchestral_soundtrack",2008
5c4boePmwZrej0yWRgnpaD,Alan Menken,Overture,0.114,0.625,0.397,0.0209,0.0701,-7.181,0.068,94.803,0.704,6,1,0,61,"broadway, movie_tunes, orchestral_soundtrack",2014
3ELIHFkmMY8rJKvsTfv8AD,James Monroe Iglehart,Arabian Nights,0.412,0.391,0.357,2.12e-06,0.575,-8.562,0.097,66.727,0.494,6,1,0,36,unknown,2014
5DFqjT6TxAE5BdKb8YcPmZ,Adam Jacobs,One Jump Ahead,0.361,0.763,0.571,0.0,0.0602,-6.348,0.3,120.769,0.838,7,1,0,40,"broadway, show_tunes",2014
3IGe9TnUiwWSWqOZi7XE38,Adam Jacobs,One Jump Ahead (Reprise),0.937,0.366,0.148,2.13e-05,0.342,-14.241,0.0408,80.285,0.347,10,1,0,40,"broadway, show_tunes",2014
7p6p8OCAsGUFvtEklW93uo,Adam Jacobs,Proud of Your Boy,0.899,0.446,0.339,0.0,0.227,-8.914,0.0458,62.167,0.305,2,1,0,40,"broadway, show_tunes",2014
3zJzud6Gto3VvBFuhfmjd2,Courtney Reed,These Palace Walls,0.788,0.516,0.331,9.11e-06,0.091,-7.363,0.0301,98.05,0.425,9,1,0,30,unknown,2014
4G9yyEFrvfRpKaXXlajj0X,Adam Jacobs,"Babkak, Omar, Aladdin, Kassim",0.337,0.486,0.527,1.07e-05,0.668,-5.985,0.209,199.89,0.455,0,1,0,40,"broadway, show_tunes",2014
61pxFBHJcAkGtIKYtQuyGR,Adam Jacobs,A Million Miles Away,0.713,0.459,0.438,0.0,0.203,-9.051,0.0436,77.27,0.187,2,1,0,40,"broadway, show_tunes",2014
2Y6XIn3zUdUYKLnKdtfNoA,Adam Jacobs,Diamond in the Rough,0.43,0.536,0.434,0.0,0.162,-7.799,0.248,133.16,0.427,3,1,0,40,"broadway, show_tunes",2014
4dsoM6q2kDJhpYB4IOL0Od,James Monroe Iglehart,Friend Like Me,0.346,0.657,0.555,1.68e-06,0.0299,-4.951,0.153,92.092,0.632,5,1,0,36,unknown,2014
1DcNYkstBN7ErOLcG1RTsa,James Monroe Iglehart,Act One Finale,0.565,0.518,0.531,0.0,0.251,-6.231,0.114,98.607,0.47,3,1,0,36,unknown,2014
3Gbq2jcKXAOAPQTz06sNAi,Brian Gonzales,Prince Ali,0.289,0.424,0.592,0.0,0.0801,-6.168,0.168,182.189,0.603,1,1,0,29,unknown,2014
2o6Plq1EqXevSjxfIFz3cB,Adam Jacobs,A Whole New World,0.844,0.385,0.229,2.41e-06,0.0819,-10.419,0.0364,127.346,0.222,1,1,0,40,"broadway, show_tunes",2014
29C9fVdw0fRo1HvF90eiSK,Brian Gonzales,High Adventure,0.265,0.498,0.555,0.0,0.123,-6.877,0.205,143.328,0.445,0,1,0,29,unknown,2014
5hgnsBqb8OOottMhubRn9P,James Monroe Iglehart,Somebody's Got Your Back,0.362,0.593,0.429,0.0,0.242,-7.211,0.221,148.23,0.595,0,1,0,36,unknown,2014
78Zm97huTUWOTwYizIV77n,Adam Jacobs,Proud of Your Boy (Reprise),0.971,0.435,0.188,2.12e-05,0.108,-12.534,0.0355,109.458,0.336,6,1,0,40,"broadway, show_tunes",2014
3VCppemyVEaBRsJeUzqaj4,Clifton Davis,Prince Ali (Sultan Reprise),0.405,0.579,0.505,0.0,0.0705,-5.549,0.05,92.87,0.357,5,0,0,15,unknown,2014
0M79KNBtkt77h5CzZoFRxn,Jonathan Freeman,Prince Ali (Jafar Reprise),0.483,0.457,0.383,0.0,0.196,-6.997,0.0345,113.727,0.536,7,0,0,34,movie_tunes,2014
4Bv827PFSV7CS4mDJKg4T7,Aladdin Original Broadway Cast,Finale Ultimo,0.304,0.485,0.436,0.0,0.0396,-5.636,0.037,145.647,0.689,0,0,0,37,broadway,2014
3GbmAjlXGySgDXIhSZqTNA,Alan Menken,Proud of Your Boy,0.863,0.528,0.33,0.0,0.272,-10.477,0.188,109.452,0.529,2,1,0,61,"broadway, movie_tunes, orchestral_soundtrack",2014
3lKqtKFnN1Xi4W69YDN9PB,Alan Menken,Genie Medley,0.841,0.585,0.312,0.0,0.447,-12.046,0.259,139.472,0.664,9,0,0,61,"broadway, movie_tunes, orchestral_soundtrack",2014
6V58LMEeGuOfLkCRJKnItb,Phil Collins,Two Worlds,0.235,0.658,0.701,0.00601,0.244,-10.254,0.0835,110.053,0.382,5,0,0,76,"rock_drums, soft_rock",1999
0loKEMa9DP6mLibdFMe6Uv,Phil Collins,You'll Be In My Heart,0.884,0.412,0.141,0.0,0.169,-16.999,0.0373,103.103,0.29,9,1,0,76,"rock_drums, soft_rock",1999
51ywMlgjW0YZvAkhaH82zL,Phil Collins,Two Worlds Reprise,0.255,0.454,0.867,0.398,0.117,-9.001,0.0999,110.204,0.0835,7,1,0,76,"rock_drums, soft_rock",1999
3a2sDAL3KUtYNuA8ibAJkN,Phil Collins,Two Worlds - Phil Version,0.382,0.66,0.869,0.00105,0.105,-8.811,0.0537,110.042,0.492,5,0,0,76,"rock_drums, soft_rock",1999
6LBfozDVA7crIeuaPAVVlE,Phil Collins,You'll Be In My Heart,0.0549,0.568,0.746,3.66e-06,0.0966,-6.582,0.0293,96.626,0.626,8,1,5,76,"rock_drums, soft_rock",1999
47oZeMBl3jRklleSE7YxcT,Phil Collins,Two Worlds Finale,0.398,0.61,0.503,0.0856,0.0857,-8.772,0.0492,115.991,0.22,5,1,0,76,"rock_drums, soft_rock",1999
1m1lMBFsQmFHNEceXYHL0K,Phil Collins,Son Of Man,0.0379,0.641,0.863,0.000829,0.335,-5.284,0.0346,141.634,0.677,9,1,0,76,"rock_drums, soft_rock",1999
34HeORxOpFiCGBzhLfuXxS,Wendy Oliver,Prologue (The Enchantress),0.867,0.331,0.143,0.00979,0.529,-27.569,0.059,92.729,0.335,5,1,8,13,unknown,1994
5a0TFx0126Z9KcIDgaj64f,Linda Talcott,Belle,0.838,0.551,0.229,0.0,0.0592,-16.78,0.118,123.496,0.467,2,1,11,24,unknown,1994
34fyyugvuzvvuCLr9yAnJ9,Susan Egan,No Matter What,0.894,0.41,0.0795,0.0,0.0591,-22.27,0.169,80.166,0.333,3,1,8,54,movie_tunes,1994
5SkliS5GQmtMHYqAmU74b0,Tom Bosley,No Matter What/Wolf Chase - Reprise,0.748,0.445,0.109,2.74e-05,0.0912,-18.538,0.0483,142.404,0.208,10,1,5,19,unknown,1994
1bACFKLgVWNn3PwmWeb3Vz,Burke Moses,Me,0.796,0.661,0.221,0.0,0.3,-17.166,0.22,82.028,0.548,9,1,9,29,unknown,1994
1MHMXx10r108xNA5CteDYk,Susan Egan,Belle - Reprise,0.839,0.476,0.106,0.0,0.144,-18.509,0.0502,57.897,0.238,2,1,8,54,movie_tunes,1994
66GzaMmr8iiRLOfaejUzuY,Susan Egan,Home,0.863,0.233,0.102,0.0,0.0462,-19.099,0.0361,166.889,0.235,4,0,13,54,movie_tunes,1994
5Lli3VgydVEtXrueefq9Vj,Beth Fowler,Home - Reprise,0.948,0.32,0.04,1.67e-05,0.181,-22.628,0.0473,99.081,0.284,3,1,6,45,movie_tunes,1994
2lKPQem0QhDIPLlBidPoUJ,Linda Talcott,Gaston,0.739,0.524,0.267,1.22e-06,0.349,-17.193,0.127,124.297,0.507,7,1,9,24,unknown,1994
0xC4aNvcjMmQHSdkkYIb9f,Kenny Raskin,Gaston - Reprise,0.87,0.64,0.262,0.0,0.136,-15.323,0.154,107.703,0.39,0,1,6,27,unknown,1994
2J7F1nv3vlpmqYtCAFlA1e,Terrence Mann,How Long Must This Go On?,0.83,0.283,0.13,0.000752,0.0875,-21.335,0.0497,143.979,0.135,0,0,6,39,unknown,1994
7tzjT13kLeMZGzcpoX4o2y,Brian Press,Be Our Guest,0.736,0.514,0.338,0.0,0.181,-15.332,0.118,115.955,0.5,7,1,12,23,unknown,1994
3pvngrqo3EZiO7AVIm8D8u,Terrence Mann,If I Can't Love Her,0.882,0.24,0.0559,0.000182,0.215,-21.321,0.0362,95.597,0.144,0,1,17,39,unknown,1994
1Mznq9fXcKe0VuMsWjErxg,Alan Menken,Entr'Acte/Wolf Chase,0.785,0.334,0.179,0.11,0.0965,-17.852,0.0428,124.027,0.164,7,1,5,61,"broadway, movie_tunes, orchestral_soundtrack",1994
38ABpg3JyDajLu1HKTmXiS,Terrence Mann,Something There,0.871,0.352,0.0675,1.19e-06,0.254,-24.019,0.0661,84.239,0.271,2,1,8,39,unknown,1994
7JP4O2gBvfqtabFOrRZ6V4,Brian Press,Human Again,0.82,0.445,0.137,0.0,0.211,-20.224,0.0698,100.117,0.425,7,1,8,23,unknown,1994
49qlylyrJ6u01YYfC2vffg,Gordon Stanley,Maison Des Lunes,0.848,0.564,0.196,0.0,0.147,-16.726,0.176,123.9,0.289,7,0,9,19,unknown,1994
2dYfL66bgkFqh45flSxfvv,Beth Fowler,Beauty And The Beast,0.92,0.248,0.0236,2.04e-06,0.0853,-22.391,0.0396,84.109,0.0835,9,1,12,45,movie_tunes,1994
71LVDzoXB3Ofy8fXCBzZuW,Terrence Mann,If I Can't Love Her - Reprise,0.837,0.199,0.0389,2.77e-06,0.106,-26.35,0.0491,90.012,0.0617,2,1,6,39,unknown,1994
3ZQ0vIjf0oWqS9jTjm0zL3,Gordon Stanley,The Mob Song,0.793,0.557,0.411,0.0,0.365,-17.031,0.184,142.427,0.648,9,0,7,19,unknown,1994
6YQ5SLS6IZdHlDPMljGER4,Alan Menken,The Battle,0.738,0.473,0.317,0.000239,0.388,-17.519,0.0944,144.315,0.463,7,1,5,61,"broadway, movie_tunes, orchestral_soundtrack",1994
5ShUXZsrJ6RFhtiAa9eCUK,Terrence Mann,End Duet / Transformation,0.887,0.362,0.103,0.000109,0.464,-20.819,0.0444,118.184,0.0441,0,1,7,39,unknown,1994
51IeYCfHvtVP6WR51yBLtT,Broadway Cast of Beauty and the Beast,Beauty And The Beast (Reprise),0.901,0.151,0.286,0.0221,0.613,-14.384,0.0341,80.514,0.614,7,1,30,28,unknown,1994
44lCTQhD97O2kfZMctrGeE,Alan Menken,Prologue: Beauty And The Beast - Soundtrack,0.888,0.35,0.272,0.0487,0.21,-19.903,0.0756,142.47,0.476,0,0,43,61,"broadway, movie_tunes, orchestral_soundtrack",1991
0Q4a3PdGEME9w8Jgqa0Gf3,Chorus - Beauty And the Beast,Belle,0.825,0.551,0.384,0.0,0.145,-13.554,0.106,129.283,0.417,0,1,56,53,movie_tunes,1991
34XWBbHC4hsTBDDbIH8g4g,Paige O'Hara,Belle Reprise - Soundtrack,0.854,0.429,0.148,0.0,0.349,-15.097,0.0751,79.904,0.345,11,1,47,48,movie_tunes,1991
0zstgBrV1t1g6n4jHrUVBY,Richard White,"Gaston - From ""Beauty and the Beast"" / Soundtrack Version",0.872,0.654,0.605,0.0,0.165,-8.382,0.138,107.124,0.678,0,1,52,0,unknown,1991
5okQdAL1mkI6PnHWQn5Abn,Jesse Corti,Gaston (Reprise),0.86,0.557,0.506,0.0,0.413,-11.542,0.411,95.842,0.473,7,1,42,39,unknown,1991
6btdYzQ8eZFBrOlUKVHuz0,Angela Lansbury,"Be Our Guest - From ""Beauty and the Beast""/Soundtrack",0.813,0.517,0.421,0.0,0.0788,-12.822,0.172,121.459,0.578,11,0,60,56,movie_tunes,1991
6mDxu0xwhv5tn1oMTNUypu,Robby Benson,Something There,0.836,0.588,0.325,1.16e-06,0.127,-10.926,0.0374,126.127,0.569,1,1,52,43,movie_tunes,1991
0wKpwcebNS9Fkw7oMbSffP,Chorus - Beauty And the Beast,The Mob Song - Soundtrack,0.809,0.563,0.594,0.0,0.161,-13.134,0.196,73.385,0.557,5,1,45,53,movie_tunes,1991
2rJFFUEl1LURkV0b0OARXx,Angela Lansbury,Beauty and the Beast,0.78,0.241,0.162,4.53e-06,0.153,-14.447,0.035,171.584,0.183,8,1,58,56,movie_tunes,1991
2k0uuop6Kik4p4tswCUruW,Alan Menken,To The Fair,0.928,0.471,0.235,0.797,0.305,-17.386,0.0339,141.954,0.382,7,1,39,61,"broadway, movie_tunes, orchestral_soundtrack",1991
7CY1MXWnjsQMqm2OcOUnbM,Alan Menken,West Wing,0.849,0.342,0.331,0.406,0.108,-13.599,0.0309,79.975,0.104,5,1,38,61,"broadway, movie_tunes, orchestral_soundtrack",1991
1b4QmuIHiO4IR2JgnH3p0s,Alan Menken,The Beast Lets Belle Go,0.957,0.0982,0.133,0.829,0.23,-17.908,0.0412,82.839,0.0595,3,1,38,61,"broadway, movie_tunes, orchestral_soundtrack",1991
0ERKcBLTUnY1Cvb6i5fBu2,Alan Menken,Battle On The Tower,0.727,0.259,0.391,0.345,0.0786,-12.141,0.0331,151.854,0.19,0,1,35,61,"broadway, movie_tunes, orchestral_soundtrack",1991
6xLPSFeiQyFvta93OKngnB,Alan Menken,Transformation,0.864,0.164,0.242,0.31,0.0755,-14.897,0.0351,95.496,0.0723,5,1,39,61,"broadway, movie_tunes, orchestral_soundtrack",1991
1ES5V0REvBHhwOFfjEwFYN,Céline Dion,"Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack ""Beauty and the Beast""",0.651,0.276,0.329,1.89e-05,0.151,-12.018,0.0312,153.175,0.115,6,0,41,74,canadian_pop,1994
0kPQSpHlW1aUdohbCqa9pU,Jordin Sparks,Beauty and the Beast,0.187,0.573,0.687,0.0,0.111,-8.912,0.0357,96.988,0.311,1,0,0,64,"dance_pop, pop, post-teen_pop",1991
1SSf8a7xDlCaR6bsbMXsGa,Josh Strickland,Two Worlds,0.278,0.416,0.518,0.013,0.08,-8.036,0.0784,112.056,0.193,5,0,25,23,unknown,2006
4grQnswmWfGqto5eT2kKzK,Merle Dandridge,You'll Be In My Heart - Broadway Cast Recording,0.85,0.279,0.268,0.0,0.0933,-9.969,0.0291,93.43,0.182,5,0,24,25,unknown,2006
04vHcLmvQvxbBdgKi7s3C4,Chester Gregory II,Who Better Than Me - Broadway Cast Recording,0.085,0.796,0.799,0.0,0.0919,-4.344,0.0278,135.908,0.964,1,0,20,17,unknown,2006
3YhH4DvWYYRFrkNuwlt1Ca,Merle Dandridge,No Other Way - Broadway Cast Recording,0.434,0.571,0.536,0.0,0.179,-7.367,0.0887,106.033,0.304,1,1,16,25,unknown,2006
5AYvO0er01965UPT0FwMCK,Alex Rutherford,I Need to Know - Broadway Cast Recording,0.92,0.392,0.111,0.000102,0.132,-15.483,0.0304,96.124,0.132,8,1,16,10,unknown,2006
0Q7kFdzBDGP8ravSOdMMyp,Ensemble - TARZAN,Son of Man - Broadway Cast Recording,0.0465,0.699,0.945,0.0,0.26,-3.793,0.0531,141.958,0.723,9,1,23,19,unknown,2006
1d2iDkZBUAreVibU5jwrj9,Merle Dandridge,Sure As Sun Turns to Moon - Broadway Cast Recording,0.816,0.469,0.34,1.41e-05,0.0818,-13.191,0.0501,85.034,0.374,2,1,17,25,unknown,2006
24ycfNj5PpBfVtfdzB41Z0,Jenn Gambatese,Waiting For This Moment - Broadway Cast Recording,0.293,0.577,0.789,2.6e-06,0.0795,-4.795,0.0306,144.001,0.541,1,1,18,30,unknown,2006
3ZtGzJGEvyPbeaEKJsJGj1,Josh Strickland,Different - Broadway Cast Recording,0.621,0.728,0.376,2.11e-06,0.0837,-8.283,0.0594,116.391,0.394,8,1,18,23,unknown,2006
73ug7O2uoHhmRExdWQXnae,Ensemble - TARZAN,Trashin' The Camp - Broadway Cast Recording,0.272,0.652,0.852,0.0,0.136,-3.923,0.155,100.11,0.738,7,0,23,19,unknown,2006
41oqlgu9jVxb4zX4PjhFIB,Jenn Gambatese,Like No Man I've Ever Seen - Broadway Cast Recording,0.794,0.574,0.509,0.0,0.0966,-9.697,0.0518,126.961,0.555,4,1,18,30,unknown,2006
1Gh2ARZyCVF2QZk32UrdbX,Josh Strickland,Strangers Like Me - Broadway Cast Recording,0.554,0.679,0.768,1.97e-06,0.223,-6.533,0.0525,119.997,0.442,1,1,26,23,unknown,2006
6jRXWOWwXbG6p7ruiZCLs3,Josh Strickland,For The First Time - Broadway Cast Recording,0.785,0.373,0.366,0.0,0.0889,-8.286,0.0306,130.584,0.184,1,1,21,23,unknown,2006
0BSzKzOIRNLFEXMfQfEUrn,Josh Strickland,Who Better Than Me? (Reprise) - Broadway Cast Recording,0.0936,0.76,0.88,0.0,0.0697,-3.358,0.0303,135.959,0.963,1,1,17,23,unknown,2006
1CdALkpcVk8D0ITONRNaJl,Josh Strickland,Everything That I Am - Broadway Cast Recording,0.777,0.36,0.281,1.3e-05,0.0561,-9.142,0.0292,107.141,0.0681,2,0,19,23,unknown,2006
5zzStqjPp55p88EOs97MNX,Josh Strickland,You'll Be In My Heart (Reprise) - Broadway Cast Recording,0.818,0.473,0.22,1.69e-06,0.178,-14.547,0.0308,89.411,0.164,8,1,22,23,unknown,2006
454FrjoEWgUwwZwnhEcG0p,Josh Strickland,Sure As Sun Turns to Moon (Reprise) - Broadway Cast Recording,0.968,0.206,0.0274,0.00101,0.117,-21.485,0.0384,76.976,0.086,2,1,15,23,unknown,2006
4etcE8qAvnmYHdnD9Zb7xL,Josh Strickland,Two Worlds (Finale) - Broadway Cast Recording,0.119,0.395,0.555,5.4e-06,0.0701,-8.5,0.049,116.428,0.0435,0,1,19,23,unknown,2006
2G8sKYrkBmzoAwgv6ISYXe,Phil Collins,Everything That I Am - Broadway Cast Recording,0.716,0.611,0.458,0.0,0.116,-7.931,0.0297,112.015,0.154,7,1,0,76,"rock_drums, soft_rock",2006
0jdUwzDkC2jieKmoqVlcaD,Robin Williams,"There's A Party Here In Agrabah, Part I",0.731,0.703,0.369,0.0,0.342,-16.768,0.158,104.262,0.747,2,0,0,46,"comedy, comic",1996
6zZhzsiyGT97kMxpkkOZBX,Robin Williams,"There's A Party Here In Agrabah, Part II",0.846,0.401,0.268,0.0,0.103,-16.263,0.267,97.065,0.534,0,0,0,46,"comedy, comic",1996
4fWMjJzPmLGkmoMVF7nqcQ,Chorus - Aladdin And The King Of Thieves,Welcome To The Forty Thieves,0.702,0.565,0.553,0.0,0.338,-14.272,0.088,108.959,0.476,2,0,32,21,movie_tunes,1996
1u8lBRgxHECssoUzAM8T5U,Liz Callaway,Out Of Thin Air,0.893,0.208,0.173,0.0,0.129,-17.404,0.0389,165.96,0.39,2,1,35,45,movie_tunes,1996
11sy5E0p6ZdGpP4gSxrLye,Jerry Orbach,Are You In Or Out?,0.703,0.584,0.42,0.0,0.367,-16.78,0.158,85.62,0.686,5,1,35,53,movie_tunes,1996
4huFl5wmXDshO4aP6gQIxv,Robin Williams,Father And Son,0.59,0.447,0.324,0.0,0.619,-17.093,0.257,175.037,0.704,2,1,0,46,"comedy, comic",1996
66upG5q60E0fXi6xSARnIX,Bruce Adler,Arabian Nights Reprise,0.471,0.362,0.491,0.0,0.17,-14.081,0.0699,131.138,0.266,9,0,25,44,movie_tunes,1996
0RzsoJbthZbTHdpXSpsKFY,Liz Callaway,Forget About Love (The Return Of Jafar),0.845,0.453,0.315,0.0,0.348,-13.69,0.0564,119.929,0.575,1,0,32,45,movie_tunes,1996
